id,puerta,clase,tiempo
4,Puerta_Derecha,car,0.03
1,Puerta_Izquierda,car,1.23
158,Puerta_Derecha,car,3.33
104,Puerta_Izquierda,car,3.8
91,Puerta_Izquierda,car,5.9
121,Puerta_Derecha,car,6.33
7,Puerta_Sur,motorcycle,6.63
19,Puerta_Sur,car,9.17
226,Puerta_Sur,car,12.37
252,Puerta_Sur,car,17.07
282,Puerta_Sur,car,19.7
369,Puerta_Sur,car,19.83
352,Puerta_Sur,car,22.37
368,Puerta_Izquierda,car,23.3
435,Puerta_Sur,car,28.0
529,Puerta_Sur,car,28.03
540,Puerta_Sur,car,31.8
551,Puerta_Norte,car,34.73
692,Puerta_Norte,car,34.8
727,Puerta_Sur,car,36.6
17,Puerta_Sur,car,36.7
736,Puerta_Sur,car,36.7
15,Puerta_Sur,car,37.3
711,Puerta_Sur,car,39.23
6,Puerta_Norte,car,42.07
694,Puerta_Sur,car,42.13
877,Puerta_Norte,car,42.77
867,Puerta_Sur,car,44.47
767,Puerta_Norte,car,44.5
889,Puerta_Norte,car,46.87
1073,Puerta_Norte,car,46.9
1110,Puerta_Sur,car,48.1
1065,Puerta_Sur,car,48.1
848,Puerta_Norte,car,48.43
1117,Puerta_Sur,car,50.1
994,Puerta_Norte,car,50.97
887,Puerta_Sur,car,52.27
1232,Puerta_Sur,car,52.33
1160,Puerta_Sur,car,53.3
1146,Puerta_Sur,car,54.53
1303,Puerta_Sur,car,54.63
1138,Puerta_Norte,car,55.33
1405,Puerta_Izquierda,car,56.83
1440,Puerta_Izquierda,car,56.9
1226,Puerta_Norte,car,58.13
1460,Puerta_Sur,car,59.77
1267,Puerta_Norte,car,59.97
5,Puerta_Norte,car,60.9
1521,Puerta_Sur,car,61.23
1448,Puerta_Norte,car,61.87
1586,Puerta_Sur,car,63.43
1494,Puerta_Norte,car,64.9
1525,Puerta_Sur,car,65.27
1685,Puerta_Sur,car,67.33
1557,Puerta_Norte,car,67.9
1780,Puerta_Norte,car,69.43
1606,Puerta_Norte,car,69.5
1755,Puerta_Sur,car,71.5
1849,Puerta_Derecha,car,72.03
1349,Puerta_Sur,car,72.33
1772,Puerta_Norte,car,72.93
1783,Puerta_Norte,car,75.07
9,Puerta_Derecha,car,78.3
364,Puerta_Derecha,car,82.33
2148,Puerta_Izquierda,car,83.53
2251,Puerta_Izquierda,truck,83.53
2170,Puerta_Izquierda,car,85.83
2249,Puerta_Derecha,car,87.7
2423,Puerta_Derecha,car,91.9
1797,Puerta_Sur,car,97.2
1972,Puerta_Derecha,car,108.37
2776,Puerta_Derecha,car,109.5
2702,Puerta_Norte,car,110.0
2830,Puerta_Derecha,car,113.63
2853,Puerta_Derecha,car,115.67
3070,Puerta_Derecha,car,125.9
3040,Puerta_Sur,car,128.27
3232,Puerta_Sur,car,129.0
3187,Puerta_Sur,car,129.33
3260,Puerta_Derecha,car,130.5
1929,Puerta_Norte,car,130.73
3227,Puerta_Sur,car,132.97
3132,Puerta_Norte,car,133.43
3311,Puerta_Norte,car,133.53
3207,Puerta_Norte,car,135.17
3354,Puerta_Sur,car,137.07
3362,Puerta_Sur,car,137.1
3268,Puerta_Norte,car,138.7
3340,Puerta_Norte,car,142.2
3364,Puerta_Norte,car,144.63
3676,Puerta_Derecha,car,146.73
3427,Puerta_Norte,car,147.73
3757,Puerta_Derecha,car,147.73
3712,Puerta_Sur,car,148.0
3871,Puerta_Sur,car,150.93
3541,Puerta_Norte,car,151.37
3875,Puerta_Izquierda,car,151.97
3721,Puerta_Norte,car,154.43
3871,Puerta_Izquierda,car,154.7
3844,Puerta_Norte,car,156.47
4070,Puerta_Norte,car,158.07
3937,Puerta_Sur,truck,159.23
4055,Puerta_Sur,truck,159.67
3938,Puerta_Norte,car,160.3
4210,Puerta_Sur,car,161.03
4093,Puerta_Sur,car,161.03
3972,Puerta_Norte,car,162.5
4305,Puerta_Sur,car,162.67
4433,Puerta_Norte,car,163.8
4034,Puerta_Norte,car,165.63
4101,Puerta_Norte,car,168.2
4666,Puerta_Izquierda,car,170.17
4628,Puerta_Norte,car,173.33
4750,Puerta_Izquierda,car,173.97
4786,Puerta_Izquierda,car,176.47
4913,Puerta_Izquierda,car,176.53
4760,Puerta_Derecha,car,176.83
4898,Puerta_Derecha,car,178.8
4952,Puerta_Izquierda,car,179.2
4872,Puerta_Derecha,car,180.7
5009,Puerta_Izquierda,car,181.53
4979,Puerta_Izquierda,car,183.53
4983,Puerta_Derecha,car,184.3
5332,Puerta_Derecha,car,189.67
5451,Puerta_Derecha,car,192.17
5686,Puerta_Norte,car,194.97
5518,Puerta_Sur,car,195.4
5540,Puerta_Izquierda,car,195.6
5593,Puerta_Izquierda,bus,196.1
5691,Puerta_Derecha,car,196.23
5751,Puerta_Norte,car,196.33
5745,Puerta_Izquierda,bus,196.43
5707,Puerta_Izquierda,car,196.83
5809,Puerta_Derecha,car,199.07
5862,Puerta_Derecha,truck,199.77
5717,Puerta_Norte,car,200.37
5951,Puerta_Izquierda,truck,203.33
5960,Puerta_Izquierda,truck,203.37
5680,Puerta_Norte,car,203.67
5904,Puerta_Sur,car,204.73
5998,Puerta_Sur,car,204.77
6022,Puerta_Izquierda,car,208.4
6025,Puerta_Izquierda,car,211.03
5944,Puerta_Izquierda,car,217.8
6283,Puerta_Sur,car,218.83
6188,Puerta_Norte,car,220.2
6263,Puerta_Sur,car,220.27
6246,Puerta_Sur,car,221.2
6339,Puerta_Sur,car,222.67
6407,Puerta_Norte,car,223.7
6289,Puerta_Sur,car,223.9
6445,Puerta_Sur,car,223.93
6421,Puerta_Sur,car,224.13
6468,Puerta_Sur,car,224.27
6448,Puerta_Sur,car,225.93
6482,Puerta_Sur,car,228.33
6551,Puerta_Norte,car,230.57
6500,Puerta_Norte,car,234.4
6613,Puerta_Sur,car,235.03
6670,Puerta_Sur,car,236.9
6531,Puerta_Norte,car,236.93
6707,Puerta_Sur,truck,236.93
6714,Puerta_Norte,car,236.97
6715,Puerta_Norte,car,236.97
6719,Puerta_Norte,car,237.1
6724,Puerta_Norte,car,237.5
6657,Puerta_Norte,car,240.73
6704,Puerta_Norte,car,242.5
6749,Puerta_Norte,car,244.53
6783,Puerta_Sur,car,244.53
6780,Puerta_Izquierda,car,244.6
6866,Puerta_Norte,car,247.87
6873,Puerta_Sur,car,249.5
6923,Puerta_Sur,car,251.53
6958,Puerta_Norte,car,253.43
7064,Puerta_Derecha,car,256.37
7290,Puerta_Norte,car,262.7
7572,Puerta_Derecha,truck,262.97
7302,Puerta_Derecha,truck,263.0
7152,Puerta_Izquierda,car,263.07
7366,Puerta_Izquierda,car,264.6
7490,Puerta_Norte,car,265.4
7684,Puerta_Derecha,car,268.33
7649,Puerta_Izquierda,car,268.47
7903,Puerta_Derecha,car,274.13
7901,Puerta_Norte,car,275.0
7162,Puerta_Sur,car,275.3
8088,Puerta_Derecha,car,277.77
7468,Puerta_Sur,car,278.13
7890,Puerta_Norte,car,278.3
8054,Puerta_Sur,car,280.33
8128,Puerta_Sur,car,282.97
8168,Puerta_Derecha,car,283.37
8273,Puerta_Sur,car,294.33
8293,Puerta_Sur,truck,294.37
8286,Puerta_Sur,car,296.83
7557,Puerta_Sur,car,306.67
7016,Puerta_Sur,car,307.57
8528,Puerta_Sur,car,310.17
8647,Puerta_Sur,car,312.3
8698,Puerta_Sur,car,315.07
8637,Puerta_Sur,car,315.33
8697,Puerta_Sur,car,315.4
8568,Puerta_Norte,car,316.27
8629,Puerta_Norte,car,318.13
8224,Puerta_Sur,car,318.53
8649,Puerta_Norte,car,320.13
8700,Puerta_Norte,car,322.7
8854,Puerta_Sur,car,323.0
8863,Puerta_Derecha,car,323.07
8880,Puerta_Derecha,car,324.3
8854,Puerta_Izquierda,car,326.47
8799,Puerta_Norte,car,327.53
8844,Puerta_Norte,car,329.6
8901,Puerta_Sur,car,330.23
9071,Puerta_Sur,car,331.53
8867,Puerta_Norte,car,331.7
9114,Puerta_Norte,car,332.77
8913,Puerta_Norte,car,333.93
9144,Puerta_Sur,truck,335.73
8907,Puerta_Derecha,car,337.23
9132,Puerta_Norte,car,339.67
9189,Puerta_Derecha,car,340.07
9217,Puerta_Derecha,car,340.33
9165,Puerta_Norte,car,341.33
9228,Puerta_Sur,car,341.87
9187,Puerta_Norte,car,343.23
8994,Puerta_Derecha,car,350.67
9407,Puerta_Izquierda,car,351.43
9445,Puerta_Derecha,car,353.2
9065,Puerta_Norte,car,358.27
8320,Puerta_Sur,truck,362.93
9639,Puerta_Sur,car,362.93
9640,Puerta_Sur,truck,363.17
9528,Puerta_Norte,car,364.1
9638,Puerta_Sur,car,366.1
9752,Puerta_Derecha,car,371.03
9457,Puerta_Derecha,car,377.33
9677,Puerta_Sur,car,378.87
9940,Puerta_Derecha,truck,378.93
9958,Puerta_Derecha,car,379.37
9968,Puerta_Derecha,car,379.97
9969,Puerta_Derecha,truck,380.17
9826,Puerta_Sur,car,381.47
9995,Puerta_Sur,car,385.23
10311,Puerta_Sur,car,396.4
10400,Puerta_Sur,car,400.07
10311,Puerta_Izquierda,car,400.7
9866,Puerta_Norte,car,402.33
10363,Puerta_Norte,car,403.63
10400,Puerta_Izquierda,truck,403.67
10412,Puerta_Norte,car,404.87
10433,Puerta_Sur,car,405.17
10618,Puerta_Derecha,car,406.3
10581,Puerta_Derecha,truck,406.3
10623,Puerta_Derecha,truck,406.57
10624,Puerta_Derecha,bus,406.87
10627,Puerta_Derecha,bus,407.1
10482,Puerta_Sur,car,408.0
10663,Puerta_Derecha,car,408.03
10501,Puerta_Sur,car,408.83
10524,Puerta_Norte,car,411.07
10501,Puerta_Izquierda,car,412.8
10586,Puerta_Norte,car,413.03
10845,Puerta_Sur,car,413.53
10947,Puerta_Norte,car,414.03
10626,Puerta_Norte,car,414.4
10782,Puerta_Norte,car,418.0
10852,Puerta_Norte,car,419.77
11014,Puerta_Norte,car,421.87
11018,Puerta_Izquierda,car,422.47
11095,Puerta_Norte,car,422.57
11071,Puerta_Sur,car,422.97
11046,Puerta_Sur,truck,426.03
11178,Puerta_Sur,car,426.03
11101,Puerta_Norte,car,427.5
11175,Puerta_Norte,car,430.13
11219,Puerta_Derecha,car,430.3
11395,Puerta_Izquierda,car,441.3
11396,Puerta_Derecha,car,443.53
11547,Puerta_Derecha,truck,443.57
11359,Puerta_Izquierda,car,445.33
11554,Puerta_Derecha,car,446.9
11610,Puerta_Derecha,car,448.47
11666,Puerta_Izquierda,car,448.53
11609,Puerta_Izquierda,car,450.67
11300,Puerta_Sur,car,451.4
11269,Puerta_Derecha,car,451.43
11648,Puerta_Norte,car,453.97
11794,Puerta_Derecha,car,456.33
11578,Puerta_Norte,car,458.07
11867,Puerta_Derecha,car,460.37
11959,Puerta_Derecha,car,460.5
12002,Puerta_Derecha,car,468.07
12107,Puerta_Derecha,car,485.57
12031,Puerta_Derecha,truck,486.03
11316,Puerta_Sur,car,487.43
11328,Puerta_Sur,car,487.57
12134,Puerta_Sur,car,490.6
11281,Puerta_Norte,car,492.93
12247,Puerta_Sur,truck,493.13
12120,Puerta_Norte,car,495.03
12288,Puerta_Sur,car,495.63
12299,Puerta_Derecha,car,495.73
12363,Puerta_Norte,car,495.8
12192,Puerta_Norte,car,497.63
12397,Puerta_Sur,car,499.23
12241,Puerta_Norte,car,499.57
12328,Puerta_Norte,car,501.47
12532,Puerta_Sur,car,502.13
12573,Puerta_Sur,car,502.13
12392,Puerta_Norte,car,504.13
12662,Puerta_Sur,car,504.63
12451,Puerta_Norte,car,506.23
12735,Puerta_Sur,car,506.97
12660,Puerta_Derecha,car,509.07
12580,Puerta_Norte,car,509.13
12683,Puerta_Norte,car,510.87
12863,Puerta_Sur,car,512.13
12079,Puerta_Norte,car,513.43
12804,Puerta_Sur,car,513.9
12865,Puerta_Derecha,car,514.3
12855,Puerta_Sur,truck,516.27
13056,Puerta_Sur,truck,516.37
